사업장명,인허가일자,영업상태명,폐업일자,위생업태명,소재지도로명주소,소재지지번주소
칸타빌레,2010-01-29,폐업,2017-02-23,커피숍,"서울특별시 관악구 신림로7길 15, 1층 (신림동)",서울특별시 관악구 신림동 235-8 
시바의여왕,2016-05-12,폐업,2017-02-23,커피숍,"서울특별시 관악구 관악로14길 71, 1층 (봉천동)",서울특별시 관악구 봉천동 1612-40 
주니수기공방,2012-06-22,폐업,2017-02-28,커피숍,서울특별시 관악구 남부순환로157길 58 (신림동),서울특별시 관악구 신림동 491-15 
커피베이 봉천역점,2015-10-30,폐업,2017-02-28,커피숍,"서울특별시 관악구 남부순환로 1726, 1층 (봉천동)",서울특별시 관악구 봉천동 930-1 
상하목장 롯데관악점,2014-08-12,폐업,2017-03-09,커피숍,"서울특별시 관악구 봉천로 209, 지하2층 (봉천동)",서울특별시 관악구 봉천동 729-22 
파리바게트 카페,2010-05-28,폐업,2017-03-17,커피숍,"서울특별시 관악구 난곡로 316, 1층 (신림동)",서울특별시 관악구 신림동 527-2 
커피이즈,2011-04-08,폐업,2017-03-23,커피숍,서울특별시 관악구 난곡로 169 (신림동),서울특별시 관악구 신림동 704-7 
커피앤마루,2009-05-22,폐업,2017-03-24,커피숍,"서울특별시 관악구 남부순환로 1369, 지하1층 (신림동)",서울특별시 관악구 신림동 1668 
카페로플라 남현점,2013-09-25,폐업,2017-03-24,커피숍,서울특별시 관악구 과천대로 909 (남현동),서울특별시 관악구 남현동 69-51 
cafe canvo,2016-09-26,폐업,2017-03-26,커피숍,"서울특별시 관악구 남부순환로 1905, 6층 (봉천동)",서울특별시 관악구 봉천동 1680-31 
Cafe Rowa,2012-10-04,폐업,2017-03-27,커피숍,"서울특별시 관악구 보라매로 62 (봉천동, 보라매삼성(아) 상가동1(1층118호) )",서울특별시 관악구 봉천동 1698-1 
dancing choco(댄싱초코),2015-03-10,폐업,2017-03-30,커피숍,"서울특별시 관악구 관악로40길 47, 1층 16호 (봉천동, 현대상가1동)",서울특별시 관악구 봉천동 1000 
루나영,2010-10-21,폐업,2017-03-31,커피숍,서울특별시 관악구 인헌6길 16 (봉천동),서울특별시 관악구 봉천동 1638-22 
serious coffee,2011-09-02,폐업,2017-04-04,커피숍,서울특별시 관악구 남현1길 23 (남현동),서울특별시 관악구 남현동 1059-10 
공차 서울대입구역점,2013-10-02,폐업,2017-04-10,커피숍,"서울특별시 관악구 관악로 164, 1층 111호 (봉천동, 대우슈페리움 1단지)",서울특별시 관악구 봉천동 856-5 
커피베이 서울대점,2014-04-04,폐업,2017-04-10,커피숍,"서울특별시 관악구 남부순환로218길 1, 1층 105호 (봉천동)",서울특별시 관악구 봉천동 869-6 
예리담 아틀리에&카페,2016-03-24,폐업,2017-04-11,커피숍,"서울특별시 관악구 신림로17길 59, 1층 (신림동)",서울특별시 관악구 신림동 1542-14 
웨이유공방카페,2016-04-25,폐업,2017-04-21,커피숍,"서울특별시 관악구 남부순환로247가길 22, 지하1층 (봉천동)",서울특별시 관악구 봉천동 1688-106 
카페 단편집,2016-11-07,폐업,2017-05-22,커피숍,"서울특별시 관악구 청룡4길 64, 1층 (봉천동)",서울특별시 관악구 봉천동 928-10 
탐앤탐스 더블유디호텔신림점(Tom N Toms WD호텔신림점),2017-03-31,폐업,2017-06-09,커피숍,"서울특별시 관악구 신림로 349, 1층 (신림동)",서울특별시 관악구 신림동 1432-79 
